UF,CODUF,CODMUNIC,NOMEDOMUNICIPIO,POPULACAO
RO,11,15,ALTA FLORESTA D'OESTE,21558
RO,11,23,ARIQUEMES,100896
RO,11,31,CABIXI,5107
RO,11,49,CACOAL,92202
RO,11,56,CEREJEIRAS,15237
RO,11,64,COLORADO DO OESTE,15747
RO,11,72,CORUMBIARA,7503
RO,11,80,COSTA MARQUES,12633
RO,11,98,ESPIGAO D'OESTE,29722
RO,11,106,GUAJARA-MIRIM,39396
RO,11,114,JARU,52090
RO,11,122,JI-PARANA,136825
RO,11,130,MACHADINHO D'OESTE,30626
RO,11,148,NOVA BRASILANDIA D'OESTE,17355
RO,11,155,OURO PRETO DO OESTE,36753
RO,11,189,PIMENTA BUENO,37464
RO,11,205,PORTO VELHO,461.748(1)
RO,11,254,PRESIDENTE MEDICI,19316
RO,11,262,RIO CRESPO,3476
RO,11,288,ROLIM DE MOURA,57180
RO,11,296,SANTA LUZIA D'OESTE,7394
RO,11,304,VILHENA,95599
RO,11,320,SAO MIGUEL DO GUAPORE,21612
RO,11,338,NOVA MAMORE,25452
RO,11,346,ALVORADA D'OESTE,13092
RO,11,379,ALTO ALEGRE DOS PARECIS,13023
RO,11,403,ALTO PARAISO,17140
RO,11,452,BURITIS,28178
RO,11,502,NOVO HORIZONTE DO OESTE,7653
RO,11,601,CACAULANDIA,4157
RO,11,700,CAMPO NOVO DE RONDONIA,8840
RO,11,809,CANDEIAS DO JAMARI,22564
RO,11,908,CASTANHEIRAS,3269
RO,11,924,CHUPINGUAIA,9351
RO,11,940,CUJUBIM,14338
RO,11,1005,GOVERNADOR JORGE TEIXEIRA,8012
RO,11,1104,ITAPUA DO OESTE,9465
RO,11,1203,MINISTRO ANDREAZZA,6440
RO,11,1302,MIRANTE DA SERRA,9200
RO,11,1401,MONTE NEGRO,11966
RO,11,1435,NOVA UNIAO,6194
RO,11,1450,PARECIS,3953
RO,11,1468,PIMENTEIRAS DO OESTE,2180
RO,11,1476,PRIMAVERA DE RONDONIA,3071
RO,11,1484,SAO FELIPE D'OESTE,5259
RO,11,1492,SAO FRANCISCO DO GUAPORE,16302
RO,11,1500,SERINGUEIRAS,11183
RO,11,1559,TEIXEIROPOLIS,4284
RO,11,1609,THEOBROMA,9253
RO,11,1708,URUPA,10828
RO,11,1757,VALE DO ANARI,7806
RO,11,1807,VALE DO PARAISO,6487
AC,12,13,ACRELANDIA,12707
AC,12,54,ASSIS BRASIL,8157
AC,12,104,BRASILEIA,25786
AC,12,138,BUJARI,11962
AC,12,179,CAPIXABA,9737
AC,12,203,CRUZEIRO DO SUL,94345
AC,12,252,EPITACIOLANDIA,18697
AC,12,302,FEIJO,35035
AC,12,328,JORDAO,11105
AC,12,336,MANCIO LIMA,19172
AC,12,344,MANOEL URBANO,12246
AC,12,351,MARECHAL THAUMATURGO,16825
AC,12,385,PLACIDO DE CASTRO,16313
AC,12,393,PORTO WALTER,10706
AC,12,401,RIO BRANCO,364368
AC,12,427,RODRIGUES ALVES,16072
AC,12,435,SANTA ROSA DO PURUS,7672
AC,12,450,SENADOR GUIOMARD,21658
AC,12,500,SENA MADUREIRA,39746
AC,12,609,TARAUACA,43072
AC,12,708,XAPURI,18181
AC,12,807,PORTO ACRE,16218
AM,13,29,ALVARAES,15.916(2)
